Product,Consumer complaint narrative
"Credit reporting, repair, or other",These are not my accounts.
"Credit reporting, repair, or other","I wrote three requests, the unverified accounts listed below still remain on my credit report in violation of Federal Law. Equifax is under FCRA law to obtain the of the original creditors documentation on file to verify that this information is mine and is correct. I have already filed a FTC Report and Police Report. Who verified these accounts? You have NOT provided me a copy of ANY original documentation ( a consumer contract with my signature on it ) as required under Section 609 ( a ) ( 1 ) ( A ) & Section 611 ( a ) ( 1 ) ( A ). Furthermore you have failed to provide the method of verification as required under Section 611 ( a ) ( 7 ). Please be advised that under Section 611 ( 5 ) ( A ) of the FCRA you are required to promptly DELETE all information which can not be verified. 
The law is very clear as to the Civil liability and the remedy available to me ( Section 616 & 617 ) if you fail to comply with Federal Law. I am a litigious consumer and fully intend on pursuing litigation in this matter to enforce my rights under the FCRA. Please remove the following accounts : XXXX XXXX XXXX XXXX XXXX, XXXX XXXX XXXX   XXXX"
"Credit reporting, repair, or other","I paid off my Synchrony Lowes account. After this account was paid, Synchrony added a couple dollars of interest. I was not made aware of a new charge, and the card ended up getting late payments. Once I was made aware, I immediately paid the account off, again. Now Synchrony is refusing to remove the late payments, despite adding interest to the account after I paid it full. I later received a notice from Synchrony stating that they have to report accurately but never acknowledged that interest was charged after the account was paid off. They are using unethical practices and are taking advantage of me and it is extremely frustrating. These late payments should not be there!"
"Credit reporting, repair, or other","I've found that my credit report has erroneous information multiple times, including now. According to Sections 609 ( a ) ( 1 ) ( A ) and 611 ( a ) ( 1 ), the three credit bureaus must check these items ( A ). It is unacceptable to list these items as information without verifying them within the legally mandated time frame. I require an investigation, a correction, or removal of the following erroneous information on my credit report : XXXX XXXX XXXX XXXX XXXX XXXX XXXX XXXX XXXX XXXX XXXX XXXX XXXX XXXX XXXX XXXX XXXX XXXX XXXX XXXX XXXX XXXX XXXX XXXX XXXX XXXX XXXX XXXX"
Debt collection,"RE : Attentively review my formal writ composed declaration of not proven complaint misinformation that is all or in part : deficient of the adequate current status in the fullness of TRUTH, ACCURACY, COMPLETENESS, TIMELINESS, documented OWNERSHIP, certifiable RESPONSIBILITY, or otherwise irrefutable, complaint obligatory, and regulatory requisite reporting thereby mandating your immediate actions to rectify and remedy and any infractions behavior ( XXXX ) by retaining or returning to demonstrate TRUE, CORRECT, COMPLETE, and COMPLAINT XXXX XXXX data field formatted reporting!!! I am a victim of identity- theft, I am writing to request that you block all accounts disputed as fraudulent on my credit reports with XXXX XXXX XXXX XXXX and XXXX. This information does not relate to any transactions I have made. I did not give anyone authorization or consent to use my personal information. I hereby exercise my legal rights enacted by Congress and The Federal Trade Commission, which explicitly states when a victim of identity-theft dispute a fraudulent account on his/her credit report it shall be honored by all credit bureaus and all fraudulent information should be blocked within 4 days and proper notification shall be given to all data furnishers pursuant to section 605b of The Federal Fair Credit Reporting Act. Failure to comply shall lead to complaints being filed with The XXXX XXXX XXXX, Consumer Financial Protection Bureau, and Attorney General stating your companys unlawful collection practices, misrepresentation of creditworthiness, defamation of character, and noncompliance to abide by laws enacted by Congress to protect victims of identity-theft who's credit been impacted by acts of fraud. Because I know my rights under THE FAIR CREDIT REPORTING ACT, CONSUMER CREDIT PROTECTION ACT ( CCPA ), and FAIR and ACCURATE CREDIT TRANSACTION ACT of 2003 ( FACTA ). I will be taking action. I also know my rights under this paragraph of Section 312 of the FACTA LAW : SEC.312. Procedures to enhance the accuracy and integrity of information furnished to consumer reporting agencies. ( b ) duty of furnishers to provide accurate information. -- Section 623 ( a ) ( 1 ) of THE FAIR CREDIT REPORTING ACT ( 15 U.S.C . 1681s-2 ( a ) ( 1 ) is amended ( 1 ) in subparagraph ( A ), by striking "" knows or consciously avoids knowing the information is inaccurate '' and inserting "" knows or has reasonable cause to believe that the information is inaccurate '', and ( 2 ) by adding at the end of the following : ( D ) DEFINITION -- For purposes of subparagraph ( A ), the term 'reasonable cause to believe that the information is inaccurate ' means having specific knowledge, other than solely allegations by the consumer, that would cause a reasonable person to have substantial doubts about the accuracy of information. Policy states. According to the Fair Credit Reporting Act FCRA 611 ( 15 U.S.C 1681 ), Procedure In Case of Disputed Accuracy. ( a ) Reinvestigation ( 1 ) Reinvestigation ( a ) In general. Subject to Subsection ( f ), if the completeness or accuracy of any item of information contained in a consumers file at a consumer agency is disputed by the consumer and the consumer notifies the agency directly, or indirectly through a reseller, of such dispute, free of charge, conduct a reasonable reinvestigation to determine whether the disputed information is inaccurate and record the current status of the disputed information, or delete the item from the file in accordance with paragraph ( 5 ), before the end of the 30-day period beginning on the date on which the agency receives the notice of the dispute from the consumer or reseller. Therefore, my position is being clearly stated, these accounts do not belong to me, meaning that you are reporting inaccurate account information within my credit file. The fact that these are inaccurate account information means that you, this credit-reporting agency, are reporting incorrect accounts. 1. ACIMA CREDIT FKA SIMPL & {$1100.00} I am well aware of my rights as a consumer. The Fair Credit Reporting Act requires that you, the credit-reporting agency report accurate and/or correct account information within my credit file. My credit issues are very specific, these accounts and/or items do not belong to me. This means that you are reporting incorrect account information within my credit report. It is this in mind that I request that these listed accounts and items be Blocked and Deleted. According to the Fair Credit Reporting Act FCRA, Section 1681c ( 2 ) Block of information resulting from identity theft. 1.Block. Except as otherwise provided in this section, a consumer reporting shall block the reporting of any information in the file of a consumer that the consumer identifies as information that resulted from alleged identity theft, not later than four ( 4 ) business days after the date receipt by such agency of 1. Appropriate proof of identity of the consumer ; 2. A copy of an identity theft report 3. The identification of such information by the consumer ; and 4. A statement by the consumer that the information relating to the transaction by the consumer. I have provided all of the above listed four ( 4 ) items within this package. Therefore, I expect these listed accounts to be deleted and blocked within ( 4 ) business days. This is clearly an identity theft issue. I am also entitled to receive a free copy of my credit report, so I am requesting a free credit report and that all of these accounts, public records items, and inquiries be permanently blocked and deleted. Enclosures : Identity Theft Report Proof of Identity Copy of Account Statement showing Fraudulent I tems FTC Notice to XXXX XXXX XXXX Consumer Financial Protection Bureau XXXX XXXX XXXX XXXX XXXXXXXX, Iowa XXXX"
"Credit reporting, repair, or other","I have filed a dispute in regards to the incorrect information that's on my credit report. Which relates to late payments. It has been well over 30 days, and I haven't received any investigation results. Listed below are the dates and amounts. 

Credit Bureau : XXXX  XXXX XXXX XX/XX/2019 XX/XX/2019 XXXX XXXX Monthly Payments XXXX XXXX XXXX XXXX  XX/XX/2019 XX/XX/2019 XX/XX/2019 XXXX XXXX  Monthly Payments XXXX XXXX XXXX XXXX   XX/XX/2019 XX/XX/2019 XXXX XXXX Monthly Payments XXXX/XXXX  XX/XX/201XXXX XXXX XXXX  Monthly Payments"
"Credit reporting, repair, or other","I have an account on Equifax for XXXXXXXX XXXX  showing as closed, not more than 2 months past due and the account is closed, current according to XXXX XXXX and the other two reporting agencies XXXX and XXXX. This needs to be updated"
"Credit reporting, repair, or other",There are five closed accounts from XXXX on my credit reports still that were closed in XXXX and XXXX. They are hurting my score and I have asked several times over the phone and in writing for them to be removed. The accounts have been resolved or paid for in other ways and there is no bearing for them to continue to remain on the account.
"Credit reporting, repair, or other","On XX/XX/2018 XXXX XXXX and XXXX XXXX were sent letters of validation via certified mail. The return receipts show XXXX XXXX 's letter was received by XX/XX/2018 and XXXX XXXX letter was received by XX/XX/2018. I heard no response from XXXX XXXX   until XXXX XXXX-which you can find in the attachments they provided in my last complaint made to them. Well pass the 30 days allotted by federal law to respond to a debt validation letter. XXXX XXXX sent a letter dated XX/XX/2018 but the post mark date reflects it being in the post office 's possession XX/XX/2018, per the corrected post mark date made by the postal service. In the envelope sent by XXXX XXXX they were requesting additional information 29 days after receiving the VOD letter and waited almost a week to send the letter off, which also shows lack of priority and willingness to follow federal law which states the company has 30 days from the date the letter is received to postmark a response. I filed a CFPB complaint and have contacted the 3 major credit reporting agencies of this neglect and the items still remain."
"Credit reporting, repair, or other","I Mr.XXXX XXXX is a victim of identity theft and accounts have been opened in my name as a result of identity theft ... 
XXXX  XXXX account # XXXXxxxxxxxxxxx opened XX/XX/XXXX amount {$23000.00}. 
Next account XXXX  XXXX original creditor XXXX XX/XX/XXXX amount {$750.00} And there is Inquiries : XXXX XXXX XXXX XXXX, XXXX XXXX XXXX XX/XX/XXXX XXXX XXXX/XXXX XX/XX/XXXX"
